k,silhouette_score
3,0.24539940567139812
4,0.19622078111867003
5,0.1929726959835238
6,0.19317259960245434
7,0.17756903528311957
8,0.1699310985672268
9,0.1661879310841304
10,0.15539190802128056
11,0.15473882429104216
12,0.1426768238985348
13,0.1419636258809525
14,0.14287789917149848
15,0.1427240313791781
16,0.14004741084370456
17,0.1378172976743645
18,0.13504205230931765
19,0.1351735655913801
20,0.1348775751558392
21,0.13086176739647093
22,0.13560685816905388
23,0.1305476527271123
24,0.13135408299368176
25,0.129607089238597
